32
0	1963	1332	1242	1678	1553	1948	1852	1319	1447	1340	1116	1482	1740	1314	1384	1552	1907	1945	1589	1952	1915	1375	1251	1877	1822	1511	1757	2000	1359	1341	1688
1963	0	1801	1193	1929	1526	1481	1065	1180	1761	1261	1653	1925	1548	1534	1425	1939	1538	1082	1933	1922	1613	1206	1510	1794	1147	1710	1584	1830	1618	1343	1611
1332	1801	0	1817	1036	1928	1634	1415	1829	1996	1466	1317	1286	1436	1669	1880	1218	1291	1667	1960	1437	1401	1666	1870	1396	1570	1815	1547	1470	1455	1920	1033
1242	1193	1817	0	1315	1196	1576	1320	1310	1294	1356	1352	1366	2012	1099	1784	1370	1524	1299	1083	1854	1025	1885	1250	1328	1473	1795	1561	1911	1167	1879	1729
1678	1929	1036	1315	0	1837	1883	1276	1855	1390	1357	1720	1866	2041	1438	1809	1487	1120	1141	1811	1875	1705	2001	1367	1539	1712	1812	1623	1624	1834	1957	1333
1553	1526	1928	1196	1837	0	1125	1264	1248	1066	1490	1833	1587	1736	1517	1504	1260	1887	1434	1941	1052	1862	1586	1421	1164	1625	1071	1266	1536	1305	1961	1392
1948	1481	1634	1576	1883	1125	0	1468	1175	1395	1152	1520	1955	1597	1916	1060	1873	1622	1832	1999	1766	1403	1994	1095	1543	1516	1725	1636	1690	1988	1980	1734
1852	1065	1415	1320	1276	1264	1468	0	1045	1765	1769	1924	1702	1891	1699	1661	1075	1677	1588	1114	2038	1767	1865	1899	1040	1800	1353	1246	1067	1867	1944	1691
1319	1180	1829	1310	1855	1248	1175	1045	0	1733	1642	1779	1330	1617	1181	1051	1197	1079	1497	1593	1216	1657	1620	1255	1088	1638	2014	1038	1700	1376	1798	1502
1447	1761	1996	1294	1390	1066	1395	1765	1733	0	1577	1859	1693	1205	1930	1131	1453	1050	1782	1073	1966	1806	1186	1339	1273	1274	1684	1476	1745	1090	1560	1350
1340	1261	1466	1356	1357	1490	1152	1769	1642	1577	0	1682	1718	1683	1750	1970	1594	1726	1202	1818	1787	1828	1938	1165	1844	1289	1055	1827	1119	1557	1236	1281
1116	1653	1317	1352	1720	1833	1520	1924	1779	1859	1682	0	1243	1429	1886	1498	1674	1394	1643	1030	1755	1857	1912	1563	1338	1500	1480	1428	1103	1791	1495	1868
1482	1925	1286	1366	1866	1587	1955	1702	1330	1693	1718	1243	0	1522	1208	1869	1140	2031	1214	1207	1146	1668	1174	1262	1377	1931	2033	1903	1198	1646	1590	1770
1740	1548	1436	2012	2041	1736	1597	1891	1617	1205	1683	1429	1522	0	1698	1615	1130	1122	2011	1308	1760	1416	1949	1194	1532	1072	1113	1717	1650	1077	1349	1528
1314	1534	1669	1099	1438	1517	1916	1699	1181	1930	1750	1886	1208	1698	0	1831	1853	1331	1715	1316	1133	1112	1874	1373	1237	1303	1302	1727	1179	1881	1803	1876
1384	1425	1880	1784	1809	1504	1060	1661	1051	1131	1970	1498	1869	1615	1831	0	1431	1695	1064	1484	1943	1990	1157	1400	1802	2030	1940	1170	2048	2023	1496	1184
1552	1939	1218	1370	1487	1260	1873	1075	1197	1453	1594	1674	1140	1130	1853	1431	0	1735	1555	2017	1808	1937	1838	2039	1062	1686	1551	1631	1334	1101	1909	1402
1907	1538	1291	1524	1120	1887	1622	1677	1079	1050	1726	1394	2031	1122	1331	1695	1735	0	1478	1958	1662	1612	1652	2018	1670	1278	1452	1035	1106	1383	1234	1195
1945	1082	1667	1299	1141	1434	1832	1588	1497	1782	1202	1643	1214	2011	1715	1064	1555	1478	0	1992	1841	1986	1598	1711	1904	1068	1762	1354	1271	1411	1287	1223
1589	1933	1960	1083	1811	1941	1999	1114	1593	1073	1818	1030	1207	1308	1316	1484	2017	1958	1992	0	1600	1177	1610	1708	1458	1295	1781	1363	1118	1942	2036	1573
1952	1922	1437	1854	1875	1052	1766	2038	1216	1966	1787	1755	1146	1760	1133	1943	1808	1662	1841	1600	0	1965	1078	1322	1619	1388	1810	1166	1097	1488	1288	1692
1915	1613	1401	1025	1705	1862	1403	1767	1657	1806	1828	1857	1668	1416	1112	1990	1937	1612	1986	1177	1965	0	1444	1964	1788	1172	1494	1445	1117	1241	1365	1220
1375	1206	1666	1885	2001	1586	1994	1865	1620	1186	1938	1912	1174	1949	1874	1157	1838	1652	1598	1610	1078	1444	0	1163	1407	1070	1775	1799	1227	1549	1637	1221
1251	1510	1870	1250	1367	1421	1095	1899	1255	1339	1165	1563	1262	1194	1373	1400	2039	2018	1711	1708	1322	1964	1163	0	1540	1703	1446	1744	1285	1805	1360	1917
1877	1794	1396	1328	1539	1164	1543	1040	1088	1273	1844	1338	1377	1532	1237	1802	1062	1670	1904	1458	1619	1788	1407	1540	0	1568	1738	1975	1527	1252	1997	1579
1822	1147	1570	1473	1712	1625	1516	1800	1638	1274	1289	1500	1931	1072	1303	2030	1686	1278	1068	1295	1388	1172	1070	1703	1568	0	1039	1582	1249	1272	1086	1660
1511	1710	1815	1795	1812	1071	1725	1353	2014	1684	1055	1480	2033	1113	1302	1940	1551	1452	1762	1781	1810	1494	1775	1446	1738	1039	0	2040	1378	1742	1297	1290
1757	1584	1547	1561	1623	1266	1636	1246	1038	1476	1827	1428	1903	1717	1727	1170	1631	1035	1354	1363	1166	1445	1799	1744	1975	1582	2040	0	1393	1155	1457	1493
2000	1830	1470	1911	1624	1536	1690	1067	1700	1745	1119	1103	1198	1650	1179	2048	1334	1106	1271	1118	1097	1117	1227	1285	1527	1249	1378	1393	0	1301	2010	1918
